seed	verdict	end_min	js_errors	failed_ai	harness	pop_limit	will	wonderord	poptech	fortress	assembly	carnyx	focus	razed	level	warbuy	corral	tier3	stable	cavbatch	cavtech	hero	champ	cav
68	win	28.0	0	0	1	300	0	0	0	1	1	2	0	1	0	6	0	1	1	3	1	1	1	6
69	loss	36.4	0	0	1	300	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0
70	win	38.3	0	0	1	300	0	0	0	1	1	2	0	0	0	0	0	0	1	12	2	1	2	51
71	win	28.0	0	0	1	300	0	0	0	1	1	2	0	0	0	3	0	0	1	4	1	1	2	11
72	win	28.2	0	0	1	300	0	0	0	1	1	2	0	2	1	7	0	2	1	7	0	1	2	26
73	win	25.7	0	0	1	300	0	0	0	1	1	2	0	0	0	6	0	1	1	6	0	1	2	21
74	win	30.2	0	0	1	300	0	0	0	1	1	2	0	4	0	5	0	1	1	7	2	1	2	26
75	win	24.6	0	0	1	300	0	0	0	1	1	2	0	5	0	4	0	1	1	5	0	1	7	16
76	win	35.8	0	0	1	300	0	0	0	1	1	2	0	3	2	5	0	2	1	11	2	2	12	46
77	win	31.3	0	0	1	300	0	0	0	1	1	2	0	0	2	5	0	1	1	8	2	2	2	31
78	win	23.1	0	0	1	300	0	0	0	0	1	1	0	3	0	2	0	0	1	3	0	1	0	6
79	win	30.4	0	0	1	300	0	0	0	0	1	2	0	1	0	0	0	0	1	7	2	2	17	31
80	win	29.8	0	0	1	300	0	0	0	1	1	2	0	2	0	3	0	0	1	3	0	1	2	6
81	win	26.1	0	0	1	300	0	0	0	1	1	0	0	0	0	2	0	0	1	7	1	0	0	25
82	win	28.0	0	0	1	300	0	0	0	0	1	2	0	3	0	6	0	3	1	7	2	1	17	26
83	win	25.0	0	0	1	300	0	0	0	1	1	2	0	0	0	5	0	0	1	3	2	1	1	6
84	win	23.3	0	0	1	300	0	0	0	0	1	0	0	0	0	0	0	0	1	4	0	0	5	10
85	win	29.7	0	0	1	300	0	0	0	1	1	4	0	1	0	8	0	2	1	10	0	2	4	41
86	win	30.3	0	0	1	300	0	0	0	1	1	2	0	1	1	7	0	0	1	8	2	2	2	31
87	win	28.8	0	0	1	300	0	0	0	1	1	2	0	0	0	4	0	0	1	6	2	1	2	21
88	win	33.7	0	0	1	300	0	0	0	1	1	2	0	0	0	6	0	1	1	8	1	1	2	31
