seed	result	game_min	js_errors	failed_ai	harness
339	win	26.2	0	0	1
340	win	39.2	0	0	1
341	win	23.3	0	0	1
342	win	25.7	0	0	1
343	win	28.4	0	0	1
344	win	28.8	0	0	1
345	win	27.2	0	0	1
346	win	26.4	0	0	1
347	win	31.0	0	0	1
348	win	25.9	0	0	1
349	win	23.4	0	0	1
350	win	23.7	0	0	1
351	win	21.3	0	0	1
352	win	30.0	0	0	1
353	win	33.0	0	0	1
354	win	22.2	0	0	1
355	win	28.4	0	0	1
356	timeout	45.0	0	0	1
357	win	28.6	0	0	1
358	win	26.1	0	0	1
359	win	26.3	0	0	1
360	win	30.9	0	0	1
361	win	28.5	0	0	1
362	win	25.0	0	0	1
363	win	28.9	0	0	1
364	win	26.1	0	0	1
365	win	27.1	0	0	1
366	win	29.7	0	0	1
367	win	29.0	0	0	1
368	win	31.1	0	0	1
369	win	28.7	0	0	1
370	win	25.5	0	0	1
371	win	28.0	0	0	1
372	win	43.0	0	0	1
373	timeout	45.0	0	0	1
374	win	36.4	0	0	1
375	win	22.0	0	0	1
376	win	29.6	0	0	1
377	win	26.5	0	0	1
378	win	23.0	0	0	1
379	win	28.0	0	0	1
380	win	25.0	0	0	1
381	win	28.0	0	0	1
382	win	28.1	0	0	1
383	win	25.6	0	0	1
384	win	31.0	0	0	1
385	win	27.0	0	0	1
386	win	23.4	0	0	1
387	win	42.3	0	0	1
388	win	25.7	0	0	1
389	win	33.1	0	0	1
390	win	24.2	0	0	1
391	win	23.0	0	0	1
392	win	22.4	0	0	1
393	win	23.4	0	0	1
394	win	25.5	0	0	1
395	win	23.1	0	0	1
396	win	24.8	0	0	1
397	win	28.0	0	0	1
398	win	36.3	0	0	1
399	win	23.8	0	0	1
400	win	34.6	0	0	1
