seed	result	minutes	errors	batch	job	artifacts
73	timeout	45.0		b5c64c77b7f34ec079ed1820	9697f733f3243700f62715a7c171be4e	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s73
74	win	35.4		15aae508c64e205d624cc921	560bc0829244f98ec53459304eb8c71b	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s74
75	win	31.6		a03c86a4ff1dd59b99b1ea4c	97ba476c835c05f3687515b069c82d28	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s75
76	timeout	45.0		64310b513053338e1f117aa4	899054bd4f6507f6178b2ca2e1433dab	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s76
77	win	38.0		67ce90eb998e0a052e0ca6f9	ae6ffc2809433e68fbd2fe931960dedc	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s77
78	win	30.5		ad57e2d42179b82d8f11910d	38c3b8ffa5a811cb412d15990b545ef2	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s78
79	timeout	45.0		1dfcdb19b75cf535fbfc26f3	a8312f995731be47e6d2c9820fec32b7	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s79
80	win	37.1		8ff0718dc4bd6af556bec3fe	4549feac0e2bca9f6ddfcc6199520df1	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s80
81	timeout	45.0		54483233c5d742d3c1749858	327c14de9eeb47dacfe65dc25252c226	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s81
82	win	38.6		043a1f8b81e6bcbe5a61f9fc	36003b625c3e3e87a965cf92b4f7ab77	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s82
83	timeout	45.0		4c96cfa320d644539cbf8714	017ace3aa6d276a117fe60928d755ace	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s83
84	timeout	45.0		7991b4ec607b1f4d0f0fb602	869f04bacc51641bf173f2f4bc7fd1fb	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s84
85	timeout	45.0		fd520e25495c06b2ec803dbf	254fb0a35c19d2f2c1b064d494284997	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s85
86	win	40.3		0b147615c37a8bee277f164f	e404538ad45ca9707b8a0ea6c66886c1	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s86
87	loss	29.7		d2c0d0e1b6504ad91001ad20	9e0b693775cb669c16c4ec559e4880b3	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s87
88	timeout	45.0		e01b493821c2dd35c7d10b20	e40c6568e5255828f794ed3a2645b86b	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s88
89	win	43.0		3d9de94a031aa011649f10e4	93df73f41fa2141ef60c4300026bafc7	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s89
90	win	29.4		3bf684c353dfd2c01475e5cf	b49b8352626aea0bbd6acb2991187531	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s90
91	win	33.9		6a42844aa63a2ccab6a58d46	9fb12873a0601461c8830e6cbb1db8dd	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s91
92	win	34.0		bd03ced355ac6c398dd7e390	26b7f6078b279e7221f16e561c6b3357	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s92
